size,naive_mean,naive_std,better_mean,better_std,blas_mean,blas_std
100,0.005709,0.000513931037311,0.0052054,0.000812415629808,0.0008263,0.000177761419386
200,0.0439389,0.002940642879447,0.03292,0.002037221146562,0.0048277,0.000323754725405
300,0.1434848,0.009557274597569,0.1070043,0.005114974748499,0.0156394,0.00077188516705
400,0.3398079,0.015359239654575,0.2562533,0.021821797100097,0.0380767,0.006574316053147
500,0.7003894,0.034647327147832,0.488095,0.002790240292321,0.0712313,0.002900983053687
600,1.2583589,0.038614998293553,0.8481504,0.016476081931765,0.1386389,0.007683440627595
700,2.0655664,0.060795952899295,1.3464273,0.015602471663525,0.2277583,0.004334942651165
800,3.4522508,0.083692616705816,2.0220592,0.016804980616208,0.3499909,0.011208231592599
900,5.6100052,0.125440726364464,2.8797811,0.016029516277792,0.5068859,0.007852502466659
1000,9.2530938,0.262482529053649,3.9655809,0.051027084813307,0.7131503,0.020582854148538
