size,f(x),time
100,C Naive,0.005946
100,C Better,0.006131
100,C Blas,0.000905
100,C Naive,0.00635
100,C Better,0.004628
100,C Blas,0.00069
100,C Naive,0.005868
100,C Better,0.004505
100,C Blas,0.000753
100,C Naive,0.005906
100,C Better,0.004912
100,C Blas,0.000682
100,C Naive,0.004849
100,C Better,0.004436
100,C Blas,0.000692
100,C Naive,0.005289
100,C Better,0.004396
100,C Blas,0.000697
100,C Naive,0.004908
100,C Better,0.004721
100,C Blas,0.000657
100,C Naive,0.005889
100,C Better,0.006374
100,C Blas,0.001056
100,C Naive,0.006172
100,C Better,0.00624
100,C Blas,0.001103
100,C Naive,0.005913
100,C Better,0.005711
100,C Blas,0.001028
200,C Naive,0.05074
200,C Better,0.03171
200,C Blas,0.004698
200,C Naive,0.042223
200,C Better,0.03101
200,C Blas,0.004824
200,C Naive,0.041636
200,C Better,0.031031
200,C Blas,0.004696
200,C Naive,0.041785
200,C Better,0.031091
200,C Blas,0.004671
200,C Naive,0.042505
200,C Better,0.035402
200,C Blas,0.004855
200,C Naive,0.042288
200,C Better,0.033092
200,C Blas,0.00466
200,C Naive,0.041558
200,C Better,0.031072
200,C Blas,0.004618
200,C Naive,0.045507
200,C Better,0.035172
200,C Blas,0.004719
200,C Naive,0.046038
200,C Better,0.036134
200,C Blas,0.005722
200,C Naive,0.045109
200,C Better,0.033486
200,C Blas,0.004814
300,C Naive,0.139053
300,C Better,0.103576
300,C Blas,0.01534
300,C Naive,0.138646
300,C Better,0.103998
300,C Blas,0.015846
300,C Naive,0.144495
300,C Better,0.104494
300,C Blas,0.015529
300,C Naive,0.138072
300,C Better,0.103973
300,C Blas,0.015238
300,C Naive,0.138209
300,C Better,0.103552
300,C Blas,0.015398
300,C Naive,0.13803
300,C Better,0.107659
300,C Blas,0.015498
300,C Naive,0.140043
300,C Better,0.103599
300,C Blas,0.015305
300,C Naive,0.145476
300,C Better,0.119577
300,C Blas,0.01777
300,C Naive,0.169471
300,C Better,0.108955
300,C Blas,0.015235
300,C Naive,0.143353
300,C Better,0.11066
300,C Blas,0.015235
400,C Naive,0.329992
400,C Better,0.246335
400,C Blas,0.035792
400,C Naive,0.337792
400,C Better,0.244782
400,C Blas,0.035781
400,C Naive,0.328091
400,C Better,0.248216
400,C Blas,0.036242
400,C Naive,0.328594
400,C Better,0.245135
400,C Blas,0.03589
400,C Naive,0.331781
400,C Better,0.248493
400,C Blas,0.035704
400,C Naive,0.327969
400,C Better,0.244897
400,C Blas,0.036237
400,C Naive,0.376104
400,C Better,0.268659
400,C Blas,0.035757
400,C Naive,0.35478
400,C Better,0.314841
400,C Blas,0.056753
400,C Naive,0.339501
400,C Better,0.254311
400,C Blas,0.03697
400,C Naive,0.343475
400,C Better,0.246864
400,C Blas,0.035641
500,C Naive,0.697245
500,C Better,0.48627
500,C Blas,0.069921
500,C Naive,0.685296
500,C Better,0.490038
500,C Blas,0.069513
500,C Naive,0.796081
500,C Better,0.492062
500,C Blas,0.069935
500,C Naive,0.691199
500,C Better,0.483387
500,C Blas,0.079122
500,C Naive,0.680762
500,C Better,0.48774
500,C Blas,0.0709
500,C Naive,0.699197
