size,naive_mean,naive_std,better_mean,better_std,blas_mean,blas_std
100,0.0033092127,7.50197046723207E-05,0.0017255787,8.31546385330769E-05,7.89761E-05,3.85295194636528E-05
200,0.0239068919,0.000183027971567,0.0097721793,0.000390004949299,0.0005442357,0.000664815514335
300,0.0743122304,0.002174289599879,0.0322456064,0.000495416819931,0.0007812634,3.8593993678349E-05
400,0.1737858716,0.007052473009528,0.0805766214,0.006631536045568,0.0036172172,0.004286161328189
500,0.3371787163,0.01107924915781,0.1485483932,0.00142160955697,0.0046875732,0.000199442049728
600,0.5914502324,0.037695644851148,0.2642946231,0.018392912172162,0.0043833598,0.000178617172794
700,0.9866767398,0.092299551046137,0.4391154639,0.04529799341465,0.0084384691,0.001868000501475
800,1.3784937278,0.00695646153071,0.6154772796,0.014041359413571,0.0109890132,0.000250629544306
900,1.9594302087,0.021965112576472,0.8899199442,0.04520936229847,0.0179432851,0.001609199235754
1000,2.7430283958,0.029220301760693,1.2048201974,0.009840680731691,0.0257187696,0.000235313403008
