sizes,naive,better,blas
100,0.00331974,0.001515567,0.000167363
100,0.003251155,0.001714997,4.5621E-05
100,0.003389129,0.001787381,7.3165E-05
100,0.003458319,0.001720309,8.0832E-05
100,0.003247231,0.001725118,4.7823E-05
100,0.003309127,0.001821972,0.000111106
100,0.003370546,0.001738131,6.6809E-05
100,0.003246735,0.001721223,4.5334E-05
100,0.003245139,0.001793648,9.9269E-05
100,0.003255006,0.001717441,5.2439E-05
200,0.024086549,0.010234099,0.00042985
200,0.023834482,0.009666166,0.000274555
200,0.023856276,0.009530358,0.000288398
200,0.023802927,0.009594278,0.002422806
200,0.023926558,0.010709018,0.000457326
200,0.024330051,0.009731612,0.000452821
200,0.023934433,0.009582355,0.000298897
200,0.02385026,0.009563025,0.00027445
200,0.023718134,0.009579498,0.000273817
200,0.023729249,0.009531384,0.000269437
300,0.072861577,0.032023588,0.000764701
300,0.073003717,0.031904011,0.000793126
300,0.072822294,0.032105504,0.000715851
300,0.077572006,0.033394579,0.000812335
300,0.073257682,0.031930634,0.000814216
300,0.077566016,0.032744899,0.00082426
300,0.073155483,0.031886237,0.000795657
300,0.077220665,0.0325202,0.00081401
300,0.072872603,0.031943698,0.000739172
300,0.072790261,0.032002714,0.000739306
400,0.168829184,0.075484724,0.001935531
400,0.173220894,0.075723834,0.001927145
400,0.175139504,0.097123906,0.00493701
400,0.174356134,0.075867586,0.001953591
400,0.16931096,0.078834772,0.015521949
400,0.173390885,0.078017524,0.001946027
400,0.169256845,0.08130671,0.002059284
400,0.192739722,0.086142829,0.002002234
400,0.169601955,0.079546026,0.001969459
400,0.172012633,0.077718303,0.001919942
500,0.35886528,0.150620334,0.004701585
500,0.333247601,0.150297799,0.004635116
500,0.356907192,0.148722389,0.004648592
500,0.331691259,0.149542721,0.004578198
500,0.32931418,0.147198734,0.004608978
500,0.335315616,0.149379264,0.004582426
500,0.329444008,0.146718585,0.004590765
500,0.331357427,0.148709669,0.005242582
500,0.331666817,0.147104052,0.004604489
500,0.333977783,0.147190385,0.004683001
600,0.569128074,0.258027186,0.00435025
600,0.572695306,0.253265379,0.004764122
600,0.577923977,0.2547293,0.004330172
600,0.574813188,0.260915705,0.004270273
600,0.572885177,0.256410555,0.00429144
600,0.61315905,0.262227602,0.004299111
600,0.567873239,0.258103358,0.004330889
600,0.572528228,0.254823449,0.004238776
600,0.604125681,0.2695665,0.004295114
600,0.689370404,0.314877197,0.004663451
700,1.01189566,0.520019692,0.007745276
700,1.119446169,0.447755766,0.00758369
700,0.990864054,0.506323169,0.013025226
700,1.155566182,0.473807562,0.010578451
700,1.029787111,0.410496979,0.007484373
700,0.914154337,0.404748844,0.007866558
700,0.911606859,0.407839572,0.007507702
700,0.91060157,0.406629209,0.007565082
700,0.910823772,0.406510977,0.007531813
700,0.912021684,0.407022869,0.00749652
800,1.38652675,0.645501518,0.010808513
800,1.378203554,0.611513202,0.010878735
800,1.373836994,0.608247922,0.010990616
800,1.375970912,0.608959599,0.010856575
800,1.377213435,0.607796142,0.01080158
800,1.394978448,0.638194219,0.011450647
800,1.374915311,0.60805422,0.011300154
800,1.372399736,0.608942312,0.011249631
800,1.376140474,0.608797696,0.010771803
800,1.374751664,0.608765966,0.010781878
900,1.993660831,0.872798843,0.017254977
900,1.946818223,0.871037528,0.017961619
900,1.949520593,0.883305748,0.017555313
900,1.942429152,0.900628565,0.022464608
900,1.988323677,1.015698192,0.017194403
900,1.948110599,0.869781499,0.017489936
900,1.942930235,0.872317946,0.017256517
900,1.99066732,0.871433552,0.017300216
900,1.950828732,0.87035571,0.017200587
900,1.941012725,0.871841859,0.017754675
1000,2.764671626,1.208447832,0.025696309
1000,2.741176229,1.196692284,0.025472285
1000,2.729202307,1.198307775,0.02601937
1000,2.77202308,1.199169741,0.025453792
1000,2.723412641,1.206744589,0.025477569
1000,2.724823466,1.229517897,0.025966691
1000,2.720417072,1.197459763,0.02602102
1000,2.716071188,1.199059609,0.025493621
1000,2.807006466,1.208845576,0.025750778
1000,2.731479883,1.203956908,0.025836261
