size,naive_mean,naive_std,better_mean,better_std,blas_mean,blas_std
100,0.0011932,8.94362591147709E-05,0.0003613,3.76269702326521E-05,0.0006826,6.37968999595156E-05
200,0.0112693,0.001171843566541,0.0035661,0.000651330168877,0.0060095,0.000812146572704
300,0.0357786,0.001593643916731,0.0101072,0.001071529104701,0.0176002,0.002148390291461
400,0.091549,0.015121859556432,0.0248685,0.005484005941524,0.0415185,0.009762676719129
500,0.1601819,0.012317395138133,0.0455649,0.007528855991746,0.0801634,0.013796317521555
600,0.2873138,0.057628977831952,0.0813795,0.022903306104141,0.1341885,0.027871781788317
700,0.4800263,0.038648503777421,0.1306207,0.003327943711129,0.2150128,0.005645732838958
800,0.8077155,0.065309378903204,0.2184884,0.005052881184697,0.3488787,0.009513126522513
900,1.4246012,0.071077728999549,0.340875,0.004223272322632,0.5086553,0.025602683370867
1000,2.3262207,0.051133965728488,0.4854708,0.007352723936671,0.6960726,0.019253278053937
