sizes,naive,better,blas
100,0.005946,0.006131,0.000905
100,0.00635,0.004628,0.00069
100,0.005868,0.004505,0.000753
100,0.005906,0.004912,0.000682
100,0.004849,0.004436,0.000692
100,0.005289,0.004396,0.000697
100,0.004908,0.004721,0.000657
100,0.005889,0.006374,0.001056
100,0.006172,0.00624,0.001103
100,0.005913,0.005711,0.001028
200,0.05074,0.03171,0.004698
200,0.042223,0.03101,0.004824
200,0.041636,0.031031,0.004696
200,0.041785,0.031091,0.004671
200,0.042505,0.035402,0.004855
200,0.042288,0.033092,0.00466
200,0.041558,0.031072,0.004618
200,0.045507,0.035172,0.004719
200,0.046038,0.036134,0.005722
200,0.045109,0.033486,0.004814
300,0.139053,0.103576,0.01534
300,0.138646,0.103998,0.015846
300,0.144495,0.104494,0.015529
300,0.138072,0.103973,0.015238
300,0.138209,0.103552,0.015398
300,0.13803,0.107659,0.015498
300,0.140043,0.103599,0.015305
300,0.145476,0.119577,0.01777
300,0.169471,0.108955,0.015235
300,0.143353,0.11066,0.015235
400,0.329992,0.246335,0.035792
400,0.337792,0.244782,0.035781
400,0.328091,0.248216,0.036242
400,0.328594,0.245135,0.03589
400,0.331781,0.248493,0.035704
400,0.327969,0.244897,0.036237
400,0.376104,0.268659,0.035757
400,0.35478,0.314841,0.056753
400,0.339501,0.254311,0.03697
400,0.343475,0.246864,0.035641
500,0.697245,0.48627,0.069921
500,0.685296,0.490038,0.069513
500,0.796081,0.492062,0.069935
500,0.691199,0.483387,0.079122
500,0.680762,0.48774,0.0709
500,0.699197,0.491899,0.070668
500,0.685869,0.487911,0.069692
500,0.69867,0.485025,0.070015
500,0.673888,0.487633,0.072467
500,0.695687,0.488985,0.07008
600,1.335221,0.839576,0.133714
600,1.244937,0.838892,0.131252
600,1.255169,0.838239,0.136926
600,1.227841,0.841519,0.130227
600,1.318554,0.834881,0.139794
600,1.238788,0.844216,0.135648
600,1.258952,0.844681,0.13964
600,1.239999,0.883784,0.156204
600,1.213845,0.873348,0.146113
600,1.250283,0.842368,0.136871
700,2.028411,1.338937,0.227165
700,2.03216,1.338031,0.229878
700,2.174028,1.338271,0.230394
700,2.059674,1.331873,0.229079
700,2.023868,1.387094,0.220744
700,2.028232,1.343279,0.230276
700,2.025105,1.348064,0.229194
700,2.18144,1.350565,0.219752
700,2.037756,1.350842,0.227526
700,2.06499,1.337317,0.233575
800,3.554531,2.014639,0.345824
800,3.464058,2.044745,0.357595
800,3.44495,2.017604,0.345733
800,3.53738,2.016416,0.347506
800,3.415566,2.008671,0.358751
800,3.573297,2.008982,0.351028
800,3.366813,2.041198,0.36949
800,3.308235,2.009272,0.352354
800,3.427289,2.051079,0.344912
800,3.430389,2.007986,0.326716
900,5.74832,2.868174,0.51084
900,5.494498,2.865445,0.50957
900,5.745386,2.866521,0.492999
900,5.60653,2.866534,0.498536
900,5.48838,2.89742,0.501516
900,5.778787,2.902657,0.511625
900,5.657395,2.893057,0.516002
900,5.633203,2.899215,0.515714
900,5.535522,2.872292,0.511308
900,5.412031,2.866496,0.500749
1000,9.086346,4.099453,0.697803
1000,9.223721,3.937329,0.700527
1000,9.267387,3.949814,0.768873
1000,9.808929,3.941943,0.710788
1000,9.385238,3.935024,0.707574
1000,9.362807,3.965004,0.698328
1000,8.916453,3.926691,0.713002
1000,9.000269,3.997321,0.70641
1000,9.046046,3.95721,0.716261
1000,9.433742,3.94602,0.711937
